ID,国語,数学,英語,理科,社会,音楽,体育,技術家庭
10001,75,55,72,48,74,39,62,37
10002,74,35,56,86,72,56,89,59
10003,80,50,68,59,56,47,55,46
10004,90,2,69,35,66,47,98,43
10005,70,34,64,34,72,65,53,62
10006,79,58,45,58,75,25,74,69
10007,60,41,59,64,76,49,62,61
10008,67,65,69,71,55,57,80,74
10009,68,40,77,53,70,62,74,67
10010,71,91,69,31,68,74,69,37
10011,74,21,77,53,56,50,65,55
10012,65,44,77,49,72,46,68,68
10013,72,44,60,39,58,42,49,25
10014,66,41,55,33,73,27,78,58
10015,83,37,45,77,61,27,79,65
10016,67,89,83,39,72,54,42,55
10017,62,36,36,45,79,32,72,32
10018,74,76,62,54,84,61,68,42
10019,62,57,55,34,70,53,68,55
10020,65,57,70,64,74,48,77,63
10021,78,47,52,61,68,28,52,47
10022,61,40,53,65,62,49,67,57
10023,70,65,69,65,66,56,74,50
10024,64,83,61,35,80,37,57,55
10025,84,44,57,32,77,16,65,63
10026,71,51,57,44,73,57,53,66
10027,76,63,70,54,65,48,68,57
10028,63,45,54,31,74,36,62,69
10029,66,45,73,43,62,38,72,65
10030,85,42,77,62,69,47,61,25
10031,75,61,66,57,79,65,85,66
10032,59,34,64,69,61,55,46,27
10033,66,64,73,34,73,26,70,64
10034,76,62,63,55,81,50,61,58
10035,71,45,88,50,73,53,66,41
10036,73,43,47,39,57,52,75,51
10037,63,50,56,47,79,34,64,40
10038,62,13,47,45,78,52,75,54
10039,82,47,41,37,65,72,66,52
10040,68,34,52,51,81,37,86,31
10041,78,16,71,55,77,49,67,80
10042,54,27,54,41,58,53,45,40
10043,71,49,73,63,71,34,43,51
10044,70,56,66,66,69,29,54,32
10045,71,60,67,25,97,29,63,49
10046,58,51,78,56,56,48,67,63
10047,72,87,70,57,72,46,76,27
10048,78,70,50,44,73,88,47,67
10049,80,60,67,52,69,86,66,24
10050,67,14,78,56,67,72,52,58
10051,71,18,75,45,60,43,82,68
10052,62,38,73,57,68,65,73,54
10053,58,24,63,39,67,56,68,42
10054,76,52,81,33,70,48,67,74
10055,82,49,59,55,59,23,60,59
10056,67,58,49,60,67,71,56,55
10057,66,54,72,33,68,61,54,83
10058,71,43,55,56,75,64,47,62
10059,64,57,42,62,64,65,51,59
10060,75,35,43,30,67,43,49,72
10061,74,22,60,64,67,37,71,77
10062,75,50,58,50,61,70,61,36
10063,66,73,62,53,75,49,61,70
10064,68,43,62,64,62,39,88,40
10065,64,30,55,41,71,52,55,21
10066,72,41,73,60,73,54,73,58
10067,53,54,68,58,71,49,63,69
10068,71,57,64,39,64,43,66,63
10069,86,30,62,62,66,33,71,75
10070,78,54,64,61,67,51,62,47
10071,65,16,45,56,84,37,70,70
10072,75,54,65,60,69,43,88,53
10073,64,60,53,68,74,39,60,47
10074,83,41,57,64,86,29,78,45
10075,65,65,53,49,64,36,76,28
10076,78,42,93,50,59,44,53,39
10077,57,56,55,53,60,46,98,33
10078,68,21,61,59,65,45,71,64
10079,74,41,56,55,65,30,60,65
10080,71,82,44,49,56,62,85,52
10081,68,24,48,10,73,51,61,38
10082,45,60,57,40,69,40,62,50
10083,68,30,60,50,61,45,46,73
10084,57,21,71,50,66,66,86,57
10085,70,83,65,61,67,51,76,68
10086,83,18,62,68,58,46,87,47
10087,78,6,55,62,65,40,62,77
10088,66,50,60,54,80,57,60,35
10089,82,48,52,28,77,90,75,52
10090,64,42,57,44,61,34,57,37
10091,64,50,67,68,81,49,89,49
10092,87,53,53,50,65,30,49,30
10093,68,38,78,70,80,47,47,40
10094,75,59,85,57,64,42,90,62
10095,73,52,81,71,68,59,79,62
10096,70,28,58,64,83,40,60,67
10097,66,68,74,58,76,29,58,73
10098,59,49,66,34,65,55,73,61
10099,60,43,55,41,71,39,89,63
10100,75,39,68,44,57,52,58,66
10101,82,12,76,65,68,29,77,27
10102,76,43,59,79,74,46,74,66
10103,66,55,76,61,65,83,61,57
10104,60,51,68,53,70,44,82,69
10105,72,25,72,51,78,56,64,66
10106,75,68,44,46,74,51,63,65
10107,68,53,71,50,62,70,75,40
10108,81,35,71,30,69,47,63,64
10109,72,37,50,37,85,65,73,42
10110,73,35,56,69,61,44,74,39
10111,69,41,48,60,60,30,69,52
10112,73,63,74,57,55,18,63,77
10113,59,44,67,40,67,41,92,49
10114,74,32,61,64,74,17,73,33
10115,77,46,66,49,57,57,71,58
10116,52,70,68,31,74,52,81,61
10117,68,49,70,33,74,45,61,44
10118,62,38,45,43,72,56,67,58
10119,62,33,71,56,63,72,51,55
10120,72,30,61,47,58,52,59,40
10121,72,50,62,59,61,34,69,59
10122,58,40,55,30,69,18,71,57
10123,69,29,74,48,65,62,71,100
10124,40,65,42,42,56,38,68,38
10125,70,38,64,51,76,37,73,81
10126,60,47,71,38,72,50,56,51
10127,72,42,50,67,63,55,58,75
10128,74,53,54,34,58,22,39,52
10129,81,51,65,46,71,74,63,44
10130,64,41,51,59,67,46,53,64
10131,69,29,70,50,66,53,57,52
10132,66,38,91,57,65,65,67,24
10133,70,37,60,39,73,28,76,44
10134,71,50,64,35,72,45,70,47
10135,79,44,54,53,73,63,42,65
10136,68,51,86,53,69,65,39,64
10137,77,43,56,59,66,62,70,75
10138,80,47,51,41,79,44,68,49
10139,85,54,48,48,64,52,79,39
10140,63,59,57,46,70,48,53,49
10141,71,65,48,45,66,64,76,68
10142,76,78,62,45,69,65,56,60
10143,70,66,64,52,60,82,66,43
10144,73,55,81,67,63,64,52,51
10145,67,22,62,49,71,39,57,59
10146,73,55,66,46,75,56,75,79
10147,70,49,69,58,59,36,57,81
10148,64,0,55,31,63,44,66,28
10149,83,59,65,39,68,65,70,64
10150,79,27,57,42,74,48,83,30
10151,78,81,77,42,70,41,76,48
10152,56,63,75,40,65,60,44,34
10153,77,36,74,50,69,38,55,62
10154,72,70,55,55,72,65,69,54
10155,60,9,64,48,69,52,78,40
10156,77,47,72,36,60,29,60,63
10157,75,41,62,43,82,63,64,32
10158,70,68,65,55,47,54,46,68
10159,63,50,52,61,73,69,66,58
10160,66,66,71,75,58,52,56,36
10161,79,46,89,42,74,26,79,40
10162,70,64,63,62,68,37,49,66
10163,76,1,54,56,65,45,65,55
10164,71,44,70,28,72,63,70,77
10165,70,100,62,29,63,51,74,54
10166,76,44,72,51,68,62,63,28
10167,63,35,64,36,67,34,70,56
10168,80,64,48,47,78,72,58,36
10169,72,72,43,33,71,49,69,57
10170,66,60,65,25,77,35,54,56
10171,71,41,58,44,65,58,84,58
10172,67,31,51,39,70,48,69,71
10173,66,40,82,38,73,45,75,44
10174,67,43,59,43,63,35,46,70
10175,71,63,46,52,84,59,61,48
10176,62,83,75,48,81,61,77,53
10177,67,40,63,60,70,47,79,66
10178,81,35,57,38,79,65,69,44
10179,67,69,48,42,69,60,78,68
10180,71,73,70,56,70,61,60,55
10181,65,25,58,43,76,79,63,77
10182,72,43,77,43,60,32,43,30
10183,60,44,80,40,62,38,75,38
10184,77,67,63,50,58,35,73,54
10185,87,75,80,46,76,51,81,58
10186,73,57,67,40,72,44,74,40
10187,68,29,50,64,69,59,38,80
10188,59,40,64,19,66,44,59,48
10189,64,42,48,45,67,51,44,49
10190,72,61,52,57,69,23,62,57
10191,78,24,46,29,63,48,76,44
10192,71,46,68,54,59,47,61,65
10193,91,44,72,27,55,44,76,61
10194,77,44,61,65,84,72,50,53
10195,62,15,71,54,57,28,70,54
10196,73,34,63,36,56,57,62,64
10197,68,23,76,52,74,42,67,50
10198,77,27,76,66,65,55,59,76
10199,79,70,51,59,62,49,68,49
10200,75,77,67,34,67,24,70,47
10201,67,74,77,34,73,28,54,75
10202,69,59,75,63,84,42,62,48
10203,65,13,58,48,75,37,66,66
10204,76,43,61,47,69,18,65,58
10205,66,64,73,47,77,58,59,64
10206,59,66,54,65,76,62,56,77
10207,69,41,75,45,66,26,50,66
10208,83,23,61,30,74,36,60,47
10209,62,45,59,60,66,52,62,44
10210,76,65,52,45,70,71,71,75
10211,82,40,64,56,65,37,45,54
10212,81,31,72,45,71,60,76,76
10213,63,52,57,38,61,48,74,56
10214,63,64,61,37,74,61,75,52
10215,78,52,76,43,79,30,55,39
10216,67,43,65,81,67,62,44,70
10217,67,14,49,58,75,46,57,56
10218,75,57,38,44,67,36,76,50
10219,72,29,54,62,100,24,88,38
10220,66,33,73,45,65,70,76,42
10221,81,54,54,38,87,43,67,80
10222,85,38,78,48,75,54,50,53
10223,70,52,65,55,74,29,80,59
10224,82,59,58,46,79,50,83,76
10225,60,33,68,55,85,42,69,46
10226,67,21,65,61,71,40,61,64
10227,78,53,57,46,81,88,66,62
10228,86,67,75,38,56,49,52,52
10229,75,42,70,43,63,50,52,45
10230,78,50,72,49,61,45,46,67
10231,73,54,63,43,76,46,60,60
10232,68,46,48,39,71,37,84,58
10233,77,35,31,48,69,54,63,41
